poi_id,name,lon,lat,zone_id,facility_type,size_class
SM025,AEON Makuhari New City,140.035,35.650,MFS42,SMALL_RETAIL,large
SM026,AEON Mall Musashi Murayama,139.3800,35.7500,MFS10,SMALL_RETAIL,large
SM027,Yokohama World Porters,139.633,35.46,MFS11,SMALL_RETAIL,large
SM028,Yokohama Sogo,139.6220,35.4660,MFS11,SMALL_RETAIL,large
SM029,Yokosuka More's City,139.6700,35.2800,MFS12,SMALL_RETAIL,medium
SM030,Totsuka AEON Mall,139.5300,35.3900,MFS13,SMALL_RETAIL,large
SM031,Northport Mall Kohoku,139.5800,35.5500,MFS14,SMALL_RETAIL,large
SM032,Tressa Yokohama,139.6300,35.5200,MFS14,SMALL_RETAIL,medium
SM033,LaLaport Yokohama,139.5700,35.5300,MFS14,SMALL_RETAIL,large
SM034,AEON Mall Yamato,139.4600,35.4700,MFS26,SMALL_RETAIL,large
SM035,AEON Mall Ebina,139.4000,35.4500,MFS26,SMALL_RETAIL,large
SM036,LaLaport Fujisawa,139.4700,35.3500,MFS20,SMALL_RETAIL,large
SM037,Dynacity Odawara,139.1500,35.2700,MFS22,SMALL_RETAIL,medium
SM038,Gotemba Premium Outlets,138.9400,35.3200,MFS24,SMALL_RETAIL,large
SM039,AEON Mall Sagamihara,139.3900,35.5400,MFS18,SMALL_RETAIL,large
SM040,Cocoon City Saitama,139.6280,35.8930,MFS27,SMALL_RETAIL,large
SM041,AEON Mall Kawaguchi,139.7200,35.8200,MFS28,SMALL_RETAIL,large
SM042,Mitsui Outlet Iruma,139.3500,35.8300,MFS31,SMALL_RETAIL,large
SM043,AEON Mall Kawagoe,139.4975,35.9392,MFS29,SMALL_RETAIL,large
SM044,Kumagaya Tiara21,139.3900,36.1500,MFS32,SMALL_RETAIL,medium
SM045,LaLaport Shin-Misato,139.8700,35.8400,MFS30,SMALL_RETAIL,large
SM046,AEON Mall Chiba Newtown,140.1000,35.7900,MFS40,SMALL_RETAIL,large
SM047,LaLaport Tokyo Bay,140.015,35.67,MFS42,SMALL_RETAIL,large
SM048,AEON Mall Kisarazu,139.92,35.4,MFS44,SMALL_RETAIL,large
SM049,Mitsui Outlet Kisarazu,139.915,35.38,MFS44,SMALL_RETAIL,large
SM050,AEON Mall Narita,140.3500,35.7800,MFS47,SMALL_RETAIL,large
SM051,AEON Mall Tsukuba,140.1200,36.0600,MFS48,SMALL_RETAIL,large
SM052,AEON Mall Mito Uchihara,140.3692,36.3692,MFS55,SMALL_RETAIL,large
SM053,AEON Mall Takasaki,139.0200,36.3300,MFS57,SMALL_RETAIL,large
SM054,AEON Mall Ota,139.3700,36.3000,MFS58,SMALL_RETAIL,large
SM055,AEON Mall Utsunomiya,139.9000,36.5500,MFS59,SMALL_RETAIL,large
SM056,Sano Premium Outlets,139.5900,36.3300,MFS61,SMALL_RETAIL,large
SM057,Mitsui Outlet Sendai,140.7300,38.2800,MFS67,SMALL_RETAIL,large
SM058,AEON Mall Shizuoka,138.3700,34.9700,MFS70,SMALL_RETAIL,large
SM059,LaLaport Kashiwanoha,139.9700,35.8900,MFS41,SMALL_RETAIL,large
SM060,AEON Mall Koshigaya,139.8100,35.8800,MFS30,SMALL_RETAIL,large
SM061,Mizonokuchi Marui Family,139.6100,35.5900,MFS17,SMALL_RETAIL,medium
SM062,AEON Mall Atsugi,139.3700,35.4500,MFS25,SMALL_RETAIL,large
SM063,AEON Mall Konosu,139.5100,36.0600,MFS08,SMALL_RETAIL,large
SM064,LaLaPort Yashio,139.8400,35.8200,MFS19,SMALL_RETAIL,medium
SM065,Ario Noda,139.8600,35.9400,MFS40,SMALL_RETAIL,large
SM066,Mito AEON Mall,140.4400,36.3800,MFS52,SMALL_RETAIL,large
SM067,Utsunomiya Bellmall,139.8700,36.5600,MFS61,SMALL_RETAIL,large
SM068,Nikko Roadside Mall,139.6000,36.7400,MFS60,SMALL_RETAIL,medium
SM069,Sendai AEON Mall,140.9100,38.2900,MFS67,SMALL_RETAIL,large
SM070,Niigata Jusco Mall,139.0200,37.9100,MFS68,SMALL_RETAIL,large
SM071,Nagano Ito Yokado,138.2000,36.6700,MFS69,SMALL_RETAIL,medium
SM072,Shizuoka PARCO,138.3800,35.0100,MFS70,SMALL_RETAIL,large
SM073,Nagoya AEON Fudoike,136.9600,35.1500,MFS71,SMALL_RETAIL,large
SM074,Osaka AEON Mall Tsurumi,135.5500,34.6600,MFS71,SMALL_RETAIL,large
SM075,Kobe AEON Style,135.1900,34.7100,MFS71,SMALL_RETAIL,medium
