# Zone-to-Administrative-Code Boundary Mapping
# Format: zone_id, semicolon-separated adm_codes (from N03-20250101.shp field: N03_007), notes
# Auto-updated by tools/discover_missing_municipalities.py
zone_id,adm_codes,notes
MFS57,"10201;10202;10204;10206;10345;10344",Maebashi Takasaki Isesaki Shibukawa
MFS58,"10203;10205;10207;10211;10524",Kiryu Ota Tatebayashi Midori
MFS59,"09201;09203;09205;09361;09301;09345;09386;09344;09214;09342;09215;09343",Utsunomiya Kanuma Moka Kaminokawa
MFS60,"09202;09209;09213;09364",Tochigi Oyama Shimotsuke Nogi
MFS61,"09204;09208;10525;10212",Ashikaga Sano
MFS63,"08212;08214;08215;08217;08364;09411",Ibaraki North (Hitachiota Takahagi Kitaibaraki Hitachiomiya)
MFS64,"09206;09213;09210;09384;09211;09407",Tochigi North (Nikko Nasushiobara Sakura)
MFS65,"10208;10209;10210;10428;10449;10444;10448;10421;10443;10426;10424;10425",Gunma North (Numata Kan'na Nakanojo)
MFS66,"10366;10382;10429;10367;10383;10384",Gunma Other (Ueno Kanna Nanmoku)
MFS67,"01xxx;02xxx;03xxx;04xxx;05xxx;06xxx;07xxx",Hokkaido and Tohoku Region (use regex pattern in mapper)
MFS68,"15xxx;16xxx;17xxx;18xxx",Hokuriku Region (Niigata Toyama Ishikawa Fukui)
MFS69,"19xxx;20xxx",Yamanashi and Nagano Region
MFS70,22xxx,Shizuoka Prefecture (all municipalities)
MFS71,"21xxx;23xxx;24xxx;25xxx;26xxx;27xxx;28xxx;29xxx;30xxx;00UNK",Chubu-West Region (Osaka Nagoya areas)
