large_zone,region,tokyo_chiyoda_chuo_minato,tokyo_meguro_shinagawa_ota,tokyo_toshima_bunkyo_shinjuku_shibuya,tokyo_arakawa_taito_sumida_koto,tokyo_nakano_suginami_setagaya,tokyo_nerima_itabashi_kita,tokyo_adachi_katsushika_edogawa,chofu_nishitokyo_fuchu_musashino_etc,machida_tama_hachioji_inagi_etc,mizuho_fussa_hamura_akiruno_etc,yokohama_nishi_naka,yokohama_isogo_minami_kanazawa_konan,yokohama_hodogaya_totsuka_sakae_izumi_etc,yokohama_kohoku_tsuzuki_midori_aoba,yokohama_tsurumi_kanagawa,kawasaki_kawasaki_saiwai_nakahara,kawasaki_takatsu_miyamae_tama_asao,sagamihara_city,yokosuka_miura,kamakura_zushi_hayama,fujisawa_chigasaki_samukawa,hiratsuka_oiso_ninomiya,odawara_manazuru_yugawara_hakone,minami_ashigara_nakai_oi_matsuda_etc,atsugi_hadano_kiyokawa_isehara_etc,zama_yamato_ebina_ayase,saitama_city,kawaguchi_warabi_toda,asaka_wako_niiza_tokorozawa_etc,soka_kasukabe_misato_koshigaya_etc,hanno_hidaka_moroyama_ogose_etc,tsurugashima_sakado_kawajima_higashimatsuyama_etc,ageo_konosu_okegawa_kitamoto_etc,kuki_kazo_hanyu_gyoda_etc,kumagaya_fukaya_ogawa_yorii_etc,honjo_kamikawa_kamisato,chichibu_yokoze_minano_nagatoro_etc,chiba_city,ichikawa_urayasu_narashino_funabashi,matsudo_kamagaya_kashiwa_abiko,nagareyama_noda,yachiyo_sakura_narita_shiroi_etc,ichihara_city,kisarazu_sodegaura_kimitsu_futtsu,katsuura_otaki_tateyama_kamogawa_etc,choshi_asahi_sosa_katori_etc,togane_mobara_sanmu_oamishirasato_etc,tsuchiura_ishioka_omitama_kasumigaura_etc,koga_shimotsuma_yachiyo_goka_etc,tsukuba_city,joso_bando,ryugasaki_toride_ushiku_moriya_etc,inashiki_miho_kawachi,kashima_kamisu_namegata_itako,mito_hitachi_kasama_hitachinaka_etc,yuki_chikusei_sakuragawa,maebashi_takasaki_isesaki_shibukawa_etc,kiryu_ota_tatebayashi_midori_etc,utsunomiya_kanuma_moka_kaminokawa_etc,tochigi_oyama_shimotsuke_nogi_etc,ashikaga_sano,tokyo_islands,ibaraki_north,tochigi_north,gunma_north,gunma_other_ueno_kanna_nanmoku,hokkaido_tohoku,hokuriku,yamanashi_nagano,shizuoka,chubu_west,overseas,unknown,all_regions
10,yokohama_nishi_naka,37,28,30,69,20,2,8,59,59,18,526,537,434,365,301,174,57,101,106,59,212,56,30,3,87,84,15,11,24,32,0,15,2,9,4,2,0,8,18,17,4,14,2,0,2,2,0,4,4,2,4,0,0,2,2,0,32,9,61,4,11,0,5,19,0,0,47,6,57,841,194,241,111,5301
11,yokohama_isogo_minami_kanazawa_konan,43,523,41,58,52,45,41,34,56,3,659,1354,538,275,208,167,68,341,183,127,190,49,51,6,99,136,15,12,20,22,7,7,6,57,14,14,0,18,45,15,0,12,6,14,3,11,7,4,3,19,9,0,3,14,0,13,35,9,28,8,0,0,10,7,0,0,152,62,45,226,855,122,1585,8860
12,yokohama_hodogaya_totsuka_sakae_izumi_etc,91,115,85,53,70,16,21,58,228,27,470,563,1741,701,333,86,119,434,45,69,364,150,45,11,335,639,14,19,36,59,0,5,3,13,0,0,3,8,45,17,10,21,2,7,3,3,29,16,5,14,9,2,3,8,20,3,31,26,9,12,2,0,3,15,3,0,118,28,133,164,388,12,897,9090
13,yokohama_kohoku_tsuzuki_midori_aoba,132,262,96,43,86,18,48,154,226,22,332,327,795,1774,369,464,398,337,101,62,177,63,71,1,275,315,24,23,34,21,0,9,8,24,6,10,7,50,48,11,0,49,18,28,3,18,2,23,2,7,0,10,0,0,5,7,14,7,16,4,4,0,3,13,1,0,221,52,256,531,499,37,831,9884
14,yokohama_tsurumi_kanagawa,286,420,182,197,153,70,87,209,127,25,1139,417,460,788,1547,522,292,119,35,16,80,61,19,12,135,173,72,36,49,53,6,15,25,26,26,10,0,97,141,49,47,61,12,32,31,5,38,19,20,11,34,32,3,22,37,0,53,43,84,37,19,58,7,25,0,0,588,255,169,258,1809,65,1549,13595
15,kawasaki_kawasaki_saiwai_nakahara,356,904,128,243,289,106,64,189,104,17,276,291,166,330,627,1955,397,95,48,36,69,64,16,4,111,123,51,71,102,80,11,10,51,29,29,5,0,105,101,84,64,90,62,33,0,11,11,15,16,5,42,7,5,23,12,14,81,26,38,19,19,0,10,45,0,0,299,135,139,125,1259,78,1953,12373
16,kawasaki_takatsu_miyamae_tama_asao,111,477,90,52,904,43,30,131,172,14,130,96,106,532,80,377,973,66,19,3,53,5,34,4,65,49,9,10,48,26,0,23,8,3,7,0,0,12,38,9,15,38,11,4,0,4,4,13,4,8,0,0,0,0,7,0,22,8,24,11,4,0,4,4,0,0,284,100,78,92,507,15,534,6601
17,sagamihara_city,68,176,87,71,161,80,66,356,916,109,49,141,147,335,180,136,299,2834,55,39,160,69,78,11,397,575,53,28,94,25,17,8,3,47,11,29,4,71,50,7,3,40,17,11,0,13,15,14,3,19,21,15,0,17,52,9,53,21,37,23,15,0,66,8,0,0,386,139,185,255,1193,36,873,11582
18,yokosuka_miura,49,13,0,7,0,3,6,0,0,0,48,138,33,42,89,33,4,4,705,56,22,3,6,0,16,9,0,4,0,3,0,0,0,0,0,0,0,5,9,5,0,5,0,3,0,4,3,6,0,3,0,0,0,0,0,0,0,0,17,3,3,0,3,3,0,0,54,5,7,36,85,13,99,1662
19,kamakura_zushi_hayama,19,18,5,3,0,3,3,0,12,1,0,33,152,1,6,11,1,1,52,272,228,5,6,0,11,30,0,0,1,3,0,0,0,3,0,0,0,6,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,6,6,6,0,0,0,0,0,3,0,0,17,6,7,12,87,3,23,1069
20,fujisawa_chigasaki_samukawa,75,80,24,40,37,66,44,142,133,47,98,126,248,110,96,147,41,259,81,242,1999,218,94,37,491,626,32,88,63,24,6,22,21,19,7,0,0,30,12,30,46,15,12,16,0,12,3,18,12,26,16,50,0,15,17,0,74,48,121,230,36,0,3,5,0,0,356,174,183,218,1047,345,1041,10093
21,hiratsuka_oiso_ninomiya,4,35,28,13,25,15,19,33,48,23,25,56,75,39,42,34,7,96,29,26,472,768,323,113,601,191,26,29,45,28,3,9,5,28,6,6,0,12,33,7,11,11,16,21,12,7,1,13,7,8,7,14,0,3,13,12,20,17,18,15,3,0,7,0,0,0,118,143,46,100,409,36,320,4787
22,odawara_manazuru_yugawara_hakone,22,38,7,23,3,5,11,3,33,0,8,28,30,17,28,15,4,29,12,4,81,131,694,258,123,56,4,7,16,60,0,0,3,11,0,0,0,12,7,20,0,14,0,4,0,0,0,0,3,0,4,3,12,0,0,0,7,0,5,0,25,0,0,0,0,0,62,14,54,220,146,30,250,2653
23,minami_ashigara_nakai_oi_matsuda_etc,36,23,18,17,4,10,14,9,21,6,27,51,104,20,55,49,20,36,7,28,45,81,611,514,156,49,31,13,15,6,0,7,3,3,10,0,0,16,22,6,3,3,7,4,0,0,4,3,0,6,7,0,0,3,0,0,10,7,6,69,0,0,2,9,0,0,110,18,91,265,375,0,410,3553
24,atsugi_hadano_kiyokawa_isehara_etc,128,158,113,186,130,127,56,160,137,96,147,180,215,510,125,202,87,369,97,64,593,411,279,205,2340,640,97,44,149,54,40,21,35,79,45,0,0,76,164,20,54,58,9,12,6,9,9,29,29,20,18,35,3,11,73,20,67,80,51,23,12,0,25,14,3,0,519,235,228,499,1954,40,1336,14059
25,zama_yamato_ebina_ayase,134,272,100,124,106,79,149,379,295,104,191,358,769,458,244,387,280,652,155,120,697,218,138,91,807,1284,55,30,96,67,22,28,24,58,18,16,0,73,87,42,25,38,18,22,9,12,8,21,3,9,9,27,3,15,32,9,46,15,61,32,12,0,3,24,3,0,332,88,302,421,850,29,1052,12736
26,saitama_city,160,104,143,191,79,307,173,122,67,41,13,18,24,47,33,28,20,32,3,7,39,23,10,4,39,28,7201,917,1137,1408,41,244,1231,1576,185,19,10,97,112,38,66,55,8,25,0,9,13,40,33,19,13,35,0,7,53,45,130,74,151,64,30,7,14,74,7,0,483,234,180,184,914,35,1620,20591
27,kawaguchi_warabi_toda,257,260,867,659,192,945,516,286,87,51,62,36,28,77,65,58,23,99,12,15,96,21,31,0,82,75,1354,2844,771,741,49,111,217,395,138,9,19,114,212,176,69,133,17,49,20,38,37,104,228,85,6,42,0,13,74,33,114,97,74,109,68,0,0,81,15,0,811,383,367,235,1546,25,3074,19997
28,asaka_wako_niiza_tokorozawa_etc,328,215,413,274,217,729,194,1450,450,317,39,49,59,82,36,53,28,62,25,0,40,15,21,7,155,68,1149,558,5959,190,651,868,421,247,349,33,103,93,157,73,34,93,18,5,5,26,40,121,35,12,24,30,0,19,51,17,232,99,109,130,24,0,17,44,2,0,751,276,350,268,1615,70,1882,22576
29,soka_kasukabe_misato_koshigaya_etc,450,300,441,778,178,332,1162,256,165,55,90,63,103,102,127,132,50,74,43,22,112,59,39,32,112,91,649,714,544,2961,28,99,251,382,192,59,8,206,370,359,257,248,58,77,20,49,64,179,222,101,146,118,18,62,211,50,288,106,259,149,93,0,19,103,11,0,978,473,315,363,2290,158,1573,21246
30,hanno_hidaka_moroyama_ogose_etc,105,50,40,72,28,114,76,200,81,186,50,15,40,45,11,67,41,20,0,3,14,11,7,3,35,16,153,85,401,122,177,130,35,142,131,15,11,21,31,39,10,3,19,6,4,0,13,23,14,3,3,6,0,44,37,11,62,35,38,34,0,0,13,3,8,0,100,54,144,24,228,13,139,3915
31,tsurugashima_sakado_kawajima_higashimatsuyama_etc,135,160,92,220,101,73,79,310,46,63,20,19,25,45,177,70,3,143,7,0,78,10,24,7,378,90,462,271,993,372,312,686,272,407,371,73,32,178,450,159,222,303,3,0,0,12,3,23,18,10,0,9,0,0,9,0,126,118,32,16,12,0,4,16,3,0,149,112,92,61,476,35,812,10092
32,ageo_konosu_okegawa_kitamoto_etc,63,34,49,73,40,85,68,67,36,17,19,33,27,28,27,33,21,39,12,8,25,24,6,0,17,28,520,149,469,251,56,220,670,371,168,43,32,35,39,43,30,39,32,9,28,38,35,26,19,11,37,21,0,7,31,27,104,56,32,63,40,0,0,24,7,0,545,181,131,102,1165,12,829,7626
33,kuki_kazo_hanyu_gyoda_etc,107,133,59,136,28,164,198,58,52,31,34,21,41,26,28,49,26,36,10,4,34,28,13,6,37,41,327,264,301,457,26,112,445,1321,269,31,9,69,133,134,162,60,15,12,0,34,29,95,108,39,65,48,3,11,135,38,222,245,108,119,60,0,20,39,14,0,686,388,202,194,1034,76,2365,11925
34,kumagaya_fukaya_ogawa_yorii_etc,95,66,87,98,73,62,137,211,108,67,26,26,18,23,22,28,26,45,15,2,32,29,3,18,108,51,290,114,565,161,94,394,174,363,1597,229,164,53,32,47,27,75,12,22,6,5,15,31,135,25,22,31,3,32,119,104,408,414,171,51,52,0,18,110,17,0,513,124,243,140,860,55,1215,10803
35,honjo_kamikawa_kamisato,40,66,27,152,67,90,16,74,29,9,11,6,6,3,9,3,0,0,3,3,52,6,20,0,3,15,26,61,136,45,10,51,34,57,150,260,15,10,16,32,5,30,3,3,3,0,9,23,20,15,10,5,0,0,33,3,252,79,42,29,40,0,7,18,10,0,172,111,65,49,608,10,706,3977
36,chichibu_yokoze_minano_nagatoro_etc,36,7,37,30,3,50,15,24,20,48,3,15,46,3,11,31,6,17,3,14,0,3,6,6,12,18,73,55,225,43,28,45,32,106,215,20,338,26,42,3,0,20,21,6,0,0,0,9,6,9,0,3,11,45,32,6,103,25,20,6,13,0,0,11,8,0,80,65,83,62,194,12,215,2777
37,chiba_city,235,120,73,150,25,40,148,47,21,9,30,54,75,65,27,52,23,49,4,0,14,17,0,0,49,17,140,56,63,95,6,15,26,13,2,7,2,2236,731,400,110,818,424,427,245,214,494,51,50,34,10,29,21,61,35,6,79,156,45,15,14,0,7,14,0,0,244,77,51,98,382,14,1008,10367
38,ichikawa_urayasu_narashino_funabashi,503,553,308,1079,184,165,856,244,115,15,64,109,106,76,68,158,33,96,41,41,93,51,21,0,116,834,293,213,367,491,16,50,109,185,65,6,8,765,3050,681,194,870,180,104,34,70,137,82,43,88,65,139,26,69,94,83,181,129,127,74,51,0,10,60,4,0,773,252,249,221,1666,37,1517,19857
39,matsudo_kamagaya_kashiwa_abiko,125,92,92,288,28,73,287,124,34,18,120,35,82,38,37,51,10,12,35,15,59,10,4,51,37,41,185,108,106,344,3,11,24,116,20,23,0,159,291,2104,442,352,48,37,7,61,103,189,53,63,147,197,13,13,115,11,70,117,62,63,20,0,4,42,0,0,673,177,258,173,1416,20,1114,11351
40,nagareyama_noda,17,50,26,125,47,35,129,106,28,3,3,19,17,31,34,19,0,23,26,3,36,7,16,7,26,31,88,39,49,342,0,16,21,58,27,4,3,109,133,325,469,86,19,46,3,34,35,63,32,16,214,87,3,51,82,49,56,64,47,26,3,0,22,11,3,0,296,82,54,59,394,0,383,4868
41,yachiyo_sakura_narita_shiroi_etc,179,154,136,264,109,163,237,174,96,5,72,70,107,116,75,87,36,109,12,18,34,17,24,3,51,86,137,85,227,177,5,28,55,84,38,8,7,820,579,350,97,1856,113,128,80,279,314,73,76,41,22,62,36,141,55,18,45,34,89,23,43,0,11,44,3,0,370,146,90,156,1308,10,1051,11846
42,ichihara_city,53,77,14,63,15,15,22,20,16,9,17,17,9,8,10,56,1,88,5,1,20,23,6,1,7,51,21,36,36,58,9,9,17,57,42,4,1,167,113,28,18,85,741,266,136,58,125,44,54,6,46,24,4,62,40,6,72,36,27,13,15,0,10,32,0,0,212,136,79,139,868,80,451,5108
43,kisarazu_sodegaura_kimitsu_futtsu,162,244,68,54,75,5,32,10,23,11,87,28,6,68,75,16,3,5,9,0,9,2,2,8,15,19,11,11,18,16,1,7,8,37,5,0,0,114,120,8,10,117,111,1926,201,41,87,3,4,15,7,8,0,35,3,2,16,8,19,0,9,0,0,8,0,0,108,29,23,38,282,16,242,4758
44,katsuura_otaki_tateyama_kamogawa_etc,43,74,48,45,31,58,59,99,43,4,8,32,30,34,18,14,18,22,19,4,18,15,14,0,20,36,50,37,50,40,0,4,9,24,14,4,0,66,75,42,14,26,52,102,695,21,22,9,4,15,4,26,4,9,27,4,44,24,36,15,9,0,4,8,0,0,163,118,86,42,686,0,189,3675
45,choshi_asahi_sosa_katori_etc,62,136,16,41,24,17,47,11,14,3,14,0,3,8,18,11,13,9,4,0,7,3,3,0,37,89,30,16,31,25,8,14,5,34,11,0,0,109,63,47,38,147,20,14,4,1426,155,7,9,0,7,22,10,300,22,6,45,25,21,8,12,0,9,12,5,0,179,47,276,77,350,65,289,4585
46,togane_mobara_sanmu_oamishirasato_etc,114,81,100,139,65,118,143,91,44,13,29,18,4,15,20,52,31,15,5,6,20,17,13,4,16,20,40,50,109,89,4,33,14,60,10,3,4,223,231,72,33,511,129,129,264,167,833,27,28,5,5,27,5,76,44,32,50,46,16,22,6,0,3,40,2,0,199,106,96,93,559,45,794,6528
47,tsuchiura_ishioka_omitama_kasumigaura_etc,96,108,57,126,90,103,87,75,31,14,16,35,21,47,76,45,25,36,5,3,22,17,3,115,61,41,88,90,134,166,9,18,36,91,28,5,0,64,63,239,168,170,22,25,0,28,69,1635,223,591,207,667,102,231,795,78,85,33,156,63,24,0,43,33,7,0,478,148,114,110,950,27,971,10639
48,koga_shimotsuma_yachiyo_goka_etc,75,72,53,86,37,25,62,62,47,12,30,8,18,20,17,36,18,48,4,0,9,17,13,6,19,66,84,56,74,138,5,24,44,246,16,0,0,61,56,65,60,76,9,6,0,15,10,111,948,53,171,79,11,17,94,148,60,69,155,205,36,0,13,18,0,0,352,109,64,162,500,34,578,5886
49,tsukuba_city,33,31,15,19,9,0,16,14,14,0,3,10,7,8,16,13,0,9,4,0,0,0,6,3,17,2,9,12,12,35,1,0,0,18,3,3,0,11,12,31,10,21,11,9,0,3,4,350,126,766,107,183,48,16,91,115,8,4,30,11,22,0,0,28,3,0,83,20,16,16,189,16,404,3103
50,joso_bando,67,64,24,38,39,47,116,44,33,15,7,44,18,16,34,35,15,25,6,0,17,14,3,0,29,16,75,65,89,139,24,18,43,82,27,9,3,58,71,83,68,76,9,13,13,24,13,110,199,62,285,183,27,28,96,37,45,36,42,57,18,0,5,12,6,0,370,101,81,62,439,31,464,4564
51,ryugasaki_toride_ushiku_moriya_etc,43,31,14,33,7,25,171,13,6,0,10,0,9,13,5,32,0,13,3,0,9,9,0,3,20,44,53,30,36,92,3,22,30,54,38,7,0,22,36,106,27,101,8,0,3,12,6,166,28,297,72,1463,157,12,49,35,24,12,34,22,12,0,0,6,3,0,143,37,29,48,343,96,298,4584
52,inashiki_miho_kawachi,31,40,51,0,0,5,9,30,13,0,0,0,11,16,14,9,3,26,11,0,0,18,0,0,4,6,23,23,17,8,0,0,7,7,5,0,3,34,28,52,3,97,25,6,0,21,10,115,18,51,3,130,323,16,29,2,3,9,6,3,3,0,9,4,0,0,21,11,8,6,107,3,88,1636
53,kashima_kamisu_namegata_itako,59,40,122,75,19,21,49,39,7,7,36,52,16,1381,43,23,29,8,21,0,12,20,3,12,27,15,67,23,74,101,2,22,24,102,20,26,3,43,109,47,23,66,29,26,12,146,16,124,43,12,42,32,48,1806,232,28,129,250,71,38,34,0,13,41,9,0,503,203,105,119,715,90,3062,10861
54,mito_hitachi_kasama_hitachinaka_etc,338,118,61,120,16,61,150,88,24,13,15,5,19,13,33,27,3,28,8,3,16,11,16,2,38,23,78,63,78,62,4,11,8,28,22,4,4,66,35,41,6,145,19,14,16,37,44,667,174,162,46,186,55,375,5463,193,41,51,155,84,15,0,729,140,10,0,759,154,97,128,710,108,989,13520
55,yuki_chikusei_sakuragawa,22,33,24,30,18,30,29,17,28,13,14,11,15,28,51,11,0,19,11,0,25,6,3,0,22,28,36,22,32,53,0,16,12,47,13,3,0,24,42,29,29,31,1,11,0,3,3,64,183,62,47,55,13,32,146,731,32,32,146,169,44,3,11,53,3,0,205,50,139,57,341,22,676,4211
56,maebashi_takasaki_isesaki_shibukawa_etc,135,91,61,106,20,132,108,156,72,41,19,33,35,49,39,63,3,55,49,6,43,100,25,3,78,63,153,148,461,191,23,78,142,247,437,326,43,29,104,69,53,72,26,24,11,31,66,59,54,26,35,27,0,30,145,36,9168,1862,185,177,146,0,14,78,765,94,953,528,593,279,1931,107,1999,23611
57,kiryu_ota_tatebayashi_midori_etc,53,87,55,71,19,31,64,63,26,69,27,16,7,9,20,272,4,53,14,0,6,15,0,10,16,42,191,68,451,109,12,69,128,318,283,68,33,23,55,47,44,24,25,13,0,6,13,23,91,12,18,104,2,22,25,101,1052,5023,210,203,540,0,9,219,142,7,435,172,218,81,1108,24,1020,13887
58,utsunomiya_kanuma_moka_kaminokawa_etc,157,125,105,233,33,133,145,87,91,4,27,22,26,61,66,60,39,76,26,0,44,35,9,8,146,110,113,97,263,180,31,68,35,133,102,45,30,63,97,106,40,77,8,19,21,42,42,118,90,43,95,112,26,188,261,313,291,217,4897,1435,327,0,51,2157,71,5,841,253,171,212,1026,12,1725,18417
59,tochigi_oyama_shimotsuke_nogi_etc,72,90,39,127,4,45,64,66,41,5,7,50,24,42,51,67,43,70,21,12,116,23,16,0,33,31,121,37,91,100,10,19,53,179,67,5,0,79,143,19,39,68,14,19,9,6,27,65,348,44,111,39,3,10,98,301,157,163,848,2039,134,0,27,179,5,0,651,185,200,172,1013,87,2361,11502
60,ashikaga_sano,38,18,7,45,15,11,49,19,10,13,7,1,19,4,12,52,16,26,3,0,6,0,32,4,13,40,109,93,40,383,13,11,37,90,57,18,4,35,60,4,10,27,3,103,10,33,3,42,45,4,5,7,4,4,26,16,309,1017,149,322,1029,0,7,43,0,0,307,76,91,99,334,12,2579,8129
61,tokyo_islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ibaraki_north,0,0,0,0,0,0,0,0,8,0,0,4,3,0,0,5,0,10,0,0,6,0,0,0,4,19,4,3,13,24,3,0,4,8,4,3,9,0,4,13,3,8,0,6,4,3,0,15,1,1,3,0,0,20,175,3,12,13,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,448
63,tochigi_north,0,3,5,3,39,4,4,15,17,3,2,3,9,0,0,27,4,16,3,0,8,0,0,0,17,5,9,9,9,30,0,22,0,13,34,0,6,0,8,4,0,3,4,4,0,5,2,1,9,39,3,19,4,29,15,14,48,44,363,72,23,0,0,0,0,0,0,0,0,0,0,0,0,1031
64,gunma_north,0,0,0,0,0,0,0,12,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,78,26,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,209
65,gunma_other_ueno_kanna_nanmoku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
66,hokkaido_tohoku,344,633,67,312,132,1596,201,274,204,90,60,815,78,135,139,131,59,83,13,4,242,47,26,66,243,187,199,169,304,244,68,102,123,291,257,23,108,121,334,127,45,226,48,57,46,64,176,95,99,108,143,25,40,59,276,99,390,207,233,162,112,0,0,0,0,0,0,0,0,0,0,0,0,11358
