large_zone,region,tokyo_chiyoda_chuo_minato,tokyo_meguro_shinagawa_ota,tokyo_toshima_bunkyo_shinjuku_shibuya,tokyo_arakawa_taito_sumida_koto,tokyo_nakano_suginami_setagaya,tokyo_nerima_itabashi_kita,tokyo_adachi_katsushika_edogawa,chofu_nishitokyo_fuchu_musashino_etc,machida_tama_hachioji_inagi_etc,mizuho_fussa_hamura_akiruno_etc,yokohama_nishi_naka,yokohama_isogo_minami_kanazawa_konan,yokohama_hodogaya_totsuka_sakae_izumi_etc,yokohama_kohoku_tsuzuki_midori_aoba,yokohama_tsurumi_kanagawa,kawasaki_kawasaki_saiwai_nakahara,kawasaki_takatsu_miyamae_tama_asao,sagamihara_city,yokosuka_miura,kamakura_zushi_hayama,fujisawa_chigasaki_samukawa,hiratsuka_oiso_ninomiya,odawara_manazuru_yugawara_hakone,minami_ashigara_nakai_oi_matsuda_etc,atsugi_hadano_kiyokawa_isehara_etc,zama_yamato_ebina_ayase,saitama_city,kawaguchi_warabi_toda,asaka_wako_niiza_tokorozawa_etc,soka_kasukabe_misato_koshigaya_etc,hanno_hidaka_moroyama_ogose_etc,tsurugashima_sakado_kawajima_higashimatsuyama_etc,ageo_konosu_okegawa_kitamoto_etc,kuki_kazo_hanyu_gyoda_etc,kumagaya_fukaya_ogawa_yorii_etc,honjo_kamikawa_kamisato,chichibu_yokoze_minano_nagatoro_etc,chiba_city,ichikawa_urayasu_narashino_funabashi,matsudo_kamagaya_kashiwa_abiko,nagareyama_noda,yachiyo_sakura_narita_shiroi_etc,ichihara_city,kisarazu_sodegaura_kimitsu_futtsu,katsuura_otaki_tateyama_kamogawa_etc,choshi_asahi_sosa_katori_etc,togane_mobara_sanmu_oamishirasato_etc,tsuchiura_ishioka_omitama_kasumigaura_etc,koga_shimotsuma_yachiyo_goka_etc,tsukuba_city,joso_bando,ryugasaki_toride_ushiku_moriya_etc,inashiki_miho_kawachi,kashima_kamisu_namegata_itako,mito_hitachi_kasama_hitachinaka_etc,yuki_chikusei_sakuragawa,maebashi_takasaki_isesaki_shibukawa_etc,kiryu_ota_tatebayashi_midori_etc,utsunomiya_kanuma_moka_kaminokawa_etc,tochigi_oyama_shimotsuke_nogi_etc,ashikaga_sano,tokyo_islands,ibaraki_north,tochigi_north,gunma_north,gunma_other_ueno_kanna_nanmoku,hokkaido_tohoku,hokuriku,yamanashi_nagano,shizuoka,chubu_west,overseas,unknown,all_regions
10,yokohama_nishi_naka,132,270,49,162,10,2,45,156,34,1,526,682,312,354,738,240,176,106,135,5,559,273,16,5,295,306,48,172,71,64,0,0,2,91,38,15,0,66,101,6,22,47,19,0,4,6,0,38,6,1,11,0,0,19,24,0,267,15,498,38,105,0,19,32,0,0,364,4,392,228,390,9728,556,19096
11,yokohama_isogo_minami_kanazawa_konan,77,3432,46,114,151,26,31,39,184,33,12008,2434,404,398,587,536,61,1733,3335,57,369,28,59,12,1075,139,29,17,34,95,0,0,14,489,105,49,0,6,95,1,0,0,70,118,2,65,45,3,0,57,5,0,6,20,0,1,16,3,97,6,0,0,120,5,0,0,1109,63,109,1175,3557,1314,69010,105279
12,yokohama_hodogaya_totsuka_sakae_izumi_etc,287,294,195,151,113,83,78,200,577,99,1082,2115,7605,4730,820,208,1552,2329,196,118,385,126,47,4,523,2428,72,19,61,198,0,0,18,37,0,0,11,36,195,39,30,64,0,0,18,2,122,51,0,18,0,12,18,36,72,18,26,72,54,110,0,0,18,54,18,0,121,8,337,336,68,6,2287,31014
13,yokohama_kohoku_tsuzuki_midori_aoba,78,141,68,53,42,8,43,135,108,18,167,130,399,1176,606,1105,110,168,30,9,162,38,34,0,150,205,72,104,15,77,0,58,1,1,25,0,35,107,7,4,0,11,253,11,1,0,1,3,4,0,0,2,0,1,9,1,2,2,0,0,0,0,0,3,0,0,255,4,97,307,545,660,1668,9526
14,yokohama_tsurumi_kanagawa,120,607,92,367,104,101,99,409,112,9,5824,348,427,783,7059,1437,201,124,38,2,200,74,1,1,337,195,45,54,201,188,4,17,26,58,346,2,0,87,513,376,407,107,8,99,1,24,41,41,65,1,379,84,1,141,134,5,137,351,735,92,61,33,0,5,1,0,1314,655,369,865,2035,903,3627,33710
15,kawasaki_kawasaki_saiwai_nakahara,2325,10187,151,1315,1714,569,202,437,211,18,1615,363,129,619,3955,17013,2011,528,49,229,192,248,42,1,375,651,217,450,425,362,31,43,120,259,146,30,0,763,831,339,723,736,4684,388,2,40,70,60,116,3,274,5,19,325,34,93,282,31,88,118,38,0,10,151,0,0,4730,748,854,585,13554,1112,10987,90024
16,kawasaki_takatsu_miyamae_tama_asao,15,1248,16,5,6012,13,6,30,28,8,34,6,27,288,14,742,2343,22,1,4,56,0,4,0,51,23,0,1,5,6,0,0,0,4,0,0,0,0,1,1,4,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,29,17,25,38,52,1,82,11291
17,sagamihara_city,18,111,8,14,53,37,8,142,4153,171,142,181,111,194,981,452,44,8475,70,36,169,566,34,31,689,416,315,40,149,24,70,15,0,13,88,7,9,406,37,0,5,23,30,36,0,0,150,44,8,9,0,6,0,31,216,3,140,2,179,41,7,0,489,14,0,0,1321,418,318,759,3529,98,2896,29255
18,yokosuka_miura,16,93,0,29,0,6,0,0,0,0,46,283,3,44,170,88,4,3,3108,12,32,0,0,0,22,8,0,1,0,1,0,0,0,0,0,0,0,1,4,4,0,7,0,6,0,35,3,7,0,0,0,0,0,0,0,0,0,0,215,3,0,0,0,11,0,0,418,28,13,236,311,186,403,5861
19,kamakura_zushi_hayama,3,10,1,0,0,0,0,0,1,0,0,12,34,0,1,14,0,0,18,106,232,1,6,0,12,77,0,0,3,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,6,1,5,0,0,0,0,0,9,0,0,2,0,0,5,21,0,3,608
20,fujisawa_chigasaki_samukawa,29,111,2,54,76,33,13,123,70,111,313,185,382,96,632,603,36,1031,120,152,6380,249,85,2,975,2053,16,483,183,61,1,20,21,26,67,0,0,204,5,7,59,83,8,8,0,1,4,83,6,112,171,289,0,8,31,0,327,142,693,1968,108,0,0,3,0,0,718,122,167,289,1243,2585,3137,27373
21,hiratsuka_oiso_ninomiya,0,6,16,11,18,1,4,5,10,136,18,46,22,13,73,56,0,118,39,10,984,1019,484,285,1695,581,18,35,80,44,3,1,22,66,12,4,0,8,95,0,3,2,48,42,1,0,12,3,0,0,0,18,0,1,0,51,5,5,88,12,0,0,1,0,0,0,431,160,57,443,503,2,610,8537
22,odawara_manazuru_yugawara_hakone,5,4,0,80,0,1,2,2,46,0,0,34,11,0,20,214,1,12,0,0,115,201,2677,83,137,136,1,4,6,556,0,0,15,34,0,0,0,15,36,146,0,73,0,1,0,0,0,0,7,0,0,3,0,0,0,0,1,0,1,0,257,0,0,0,0,0,176,52,32,646,289,104,654,6891
23,minami_ashigara_nakai_oi_matsuda_etc,19,107,7,3,1,3,33,5,290,6,209,355,774,87,270,416,98,281,19,51,37,348,3869,3886,865,85,65,21,59,21,0,0,2,0,12,0,0,12,13,5,1,27,10,0,0,0,7,5,0,22,16,0,0,2,0,0,10,0,7,622,0,0,0,35,0,0,152,28,467,1667,972,0,2677,19061
24,atsugi_hadano_kiyokawa_isehara_etc,261,178,67,328,111,164,55,158,121,139,343,172,173,113,183,658,27,506,94,57,414,224,201,52,4581,701,137,51,231,93,184,50,80,191,51,0,0,65,154,9,237,95,1,5,6,3,4,51,109,8,4,249,0,19,20,51,159,442,105,22,34,0,94,1,0,0,858,90,356,804,2041,89,5842,23179
25,zama_yamato_ebina_ayase,115,253,61,200,145,46,339,624,441,117,266,450,1520,855,368,965,262,1197,200,122,1043,945,90,124,1786,2125,56,215,79,85,4,26,67,262,64,32,0,430,225,116,33,17,2,51,1,11,18,4,1,3,2,97,0,21,24,5,63,12,33,127,43,0,0,30,0,0,757,84,410,743,1257,10,1812,21990
26,saitama_city,18,14,41,296,50,928,160,81,28,13,3,1,19,267,14,39,2,46,1,1,17,18,1,5,53,21,38445,1359,1261,2440,10,162,2733,2104,94,5,19,15,172,98,18,31,28,19,0,9,11,40,62,44,18,51,0,0,12,17,39,74,267,28,64,0,1,131,2,0,435,114,48,395,678,183,2477,56350
27,kawaguchi_warabi_toda,95,734,2628,501,219,1654,646,298,59,54,89,15,37,38,109,81,16,152,32,13,83,13,7,0,25,51,1812,9084,1428,1003,18,152,368,590,356,6,38,114,753,242,137,257,28,41,1,70,12,167,137,87,56,84,0,49,154,106,112,237,67,37,47,0,1,40,46,0,550,76,155,416,748,6,6916,34453
28,asaka_wako_niiza_tokorozawa_etc,264,276,467,587,254,1667,682,2003,627,200,21,28,55,1601,10,204,13,66,37,0,7,15,27,9,170,26,1752,955,29809,450,466,863,544,758,374,74,203,1044,2792,78,10,253,27,71,0,11,125,974,74,29,106,18,0,25,211,4,341,196,110,624,35,0,4,15,9,0,1347,511,358,555,1727,260,2277,59783
29,soka_kasukabe_misato_koshigaya_etc,591,496,591,754,230,457,3950,561,274,167,358,315,353,139,185,282,69,201,13,0,715,141,49,265,505,190,2435,2281,1543,8718,174,264,821,855,789,543,90,345,2120,853,1430,767,43,325,1,161,75,880,835,255,740,298,104,444,354,117,1269,190,713,1168,677,0,8,304,55,0,2802,1495,962,1198,3622,2980,2623,60578
30,hanno_hidaka_moroyama_ogose_etc,830,50,130,971,186,844,235,1362,502,1935,713,237,28,168,20,838,259,15,0,0,1,54,0,40,75,5,1219,473,1045,1792,908,198,20,1359,358,39,68,66,124,169,96,0,140,0,0,0,27,156,1,8,0,14,0,394,122,105,173,208,227,180,0,0,4,10,0,0,91,53,1399,45,255,49,1307,22399
31,tsurugashima_sakado_kawajima_higashimatsuyama_etc,188,42,27,111,114,22,9,116,42,58,24,7,18,16,31,61,0,70,19,0,29,47,2,0,102,71,473,420,1262,228,2152,2443,210,1379,778,207,47,2,48,179,30,106,13,0,0,0,2,24,22,1,0,6,0,0,9,0,558,442,96,32,4,0,0,18,35,0,335,729,56,114,648,54,832,15218
32,ageo_konosu_okegawa_kitamoto_etc,48,82,50,149,13,42,80,139,23,56,11,5,1,16,52,219,42,28,4,0,17,42,0,0,23,47,367,251,588,798,24,204,849,534,322,34,3,47,131,25,26,72,40,24,39,19,5,100,87,34,281,17,0,11,57,25,188,163,42,242,72,0,1,14,4,0,693,120,59,224,1392,53,1976,11447
33,kuki_kazo_hanyu_gyoda_etc,119,189,119,52,10,271,242,107,100,24,25,8,59,70,42,89,10,172,17,1,46,25,17,7,80,177,848,627,1217,910,58,206,1808,3793,1423,48,9,71,518,93,945,206,33,7,0,16,24,396,426,144,196,127,8,10,332,145,866,443,302,394,300,0,94,27,13,0,4042,1435,1357,404,1781,641,25469,54288
34,kumagaya_fukaya_ogawa_yorii_etc,293,230,328,466,427,189,1082,1394,380,217,366,54,69,30,60,81,91,400,60,0,178,145,0,100,358,127,1355,318,1958,854,580,1958,1424,2116,6128,845,537,51,143,70,23,206,147,265,0,9,9,86,1949,108,183,128,2,176,1074,1033,2148,2029,1439,409,205,0,105,1420,169,0,1077,213,877,199,1555,158,7041,49904
35,honjo_kamikawa_kamisato,14,23,7,70,24,46,7,94,2,21,21,1,8,12,3,0,0,0,1,0,21,15,0,0,0,228,71,245,292,60,14,157,38,202,511,1580,77,15,7,6,0,1,13,1,0,0,11,1,53,2,4,3,0,0,3,13,363,413,75,467,22,0,7,56,14,0,78,72,19,84,239,8,233,6148
36,chichibu_yokoze_minano_nagatoro_etc,151,2,72,165,11,558,56,166,131,1040,0,45,12,0,78,441,36,246,0,48,7,36,45,42,89,122,554,436,2710,438,82,448,269,1216,2379,113,5079,195,442,28,0,197,150,85,0,0,0,86,82,34,0,17,57,1031,17,6,1093,128,243,92,50,0,0,67,34,0,373,377,416,416,474,74,1516,25101
37,chiba_city,1004,296,37,163,51,33,509,152,108,5,24,1,29,38,13,152,4,84,2,0,34,5,0,0,129,119,244,166,143,170,18,59,185,33,33,109,0,6081,2009,850,198,909,913,796,218,370,371,109,353,152,99,63,24,156,204,36,668,1940,98,84,196,0,35,100,0,0,1754,263,325,396,964,108,1753,26743
38,ichikawa_urayasu_narashino_funabashi,816,3875,173,5622,101,302,2231,111,178,10,14,219,94,68,80,437,35,113,243,4,199,99,20,0,411,93,964,422,1189,3013,9,549,230,703,205,1,1,1274,14848,1230,348,1364,1044,315,17,233,831,345,225,711,299,344,122,506,137,354,756,938,667,704,181,0,24,395,2,0,2740,616,853,551,3431,3513,5556,68309
39,matsudo_kamagaya_kashiwa_abiko,211,439,142,662,5,153,213,213,8,35,309,3,2,2,43,43,3,57,14,0,505,5,0,612,77,1,456,137,67,884,7,17,14,230,68,40,0,144,1718,9361,1194,2634,101,18,8,47,176,12303,297,65,171,782,4,29,130,33,97,145,60,321,65,0,36,22,0,0,1422,201,155,333,1128,2,2276,41156
40,nagareyama_noda,15,48,34,69,55,66,84,162,55,0,5,81,15,27,55,40,0,15,17,0,40,2,0,0,15,8,177,100,163,190,0,73,16,65,77,4,38,158,152,153,460,35,14,71,1,36,16,84,5,28,20,30,1,47,53,3,77,38,84,22,1,0,12,2,0,0,235,114,72,42,350,0,410,4638
41,yachiyo_sakura_narita_shiroi_etc,314,170,174,559,97,106,414,204,149,28,966,124,32,169,119,183,39,178,4,6,18,19,56,1,46,226,282,169,602,379,30,34,72,187,52,1,6,2050,1840,971,93,5764,304,150,99,759,570,139,59,158,17,415,231,1476,172,17,140,94,207,19,80,0,44,141,13,0,728,159,160,289,1844,8,3862,29289
42,ichihara_city,264,541,105,645,27,23,48,73,8,5,89,45,21,53,85,386,0,1231,16,16,45,114,36,7,17,807,66,248,133,272,42,27,102,374,192,35,0,1736,1155,146,169,281,6997,2525,18,441,257,403,333,6,348,93,6,535,107,30,386,285,132,221,160,0,101,377,13,0,1080,788,210,829,6810,6831,2594,42599
43,kisarazu_sodegaura_kimitsu_futtsu,1417,2047,655,134,751,1,146,7,23,7,873,218,0,690,665,92,0,8,33,0,68,0,2,0,71,54,124,9,14,82,1,5,2,235,34,0,0,93,641,6,3,65,304,8480,72,4,12,0,1,58,1,3,0,240,0,2,104,9,67,0,26,9,0,30,5,0,325,35,143,198,597,170,309,20477
44,katsuura_otaki_tateyama_kamogawa_etc,1,50,0,0,0,2,4,15,0,0,54,0,1,2,0,0,1,0,27,0,0,0,0,0,0,14,1,0,91,1,0,0,0,1,0,0,0,30,78,1,1,11,374,733,3712,39,35,0,10,0,0,17,0,0,1,0,1,0,108,0,0,0,0,0,0,0,19,1,1,2,102,0,50,5595
45,choshi_asahi_sosa_katori_etc,172,114,1,35,53,8,65,1,106,1,15,1,0,7,2,2,20,4,0,1,34,1,0,0,117,402,16,26,102,70,15,4,4,113,2,0,0,297,355,80,267,249,63,40,0,3940,70,27,46,0,6,98,17,677,28,4,62,110,28,77,2,0,17,67,51,0,430,120,355,142,857,1600,265,11961
46,togane_mobara_sanmu_oamishirasato_etc,103,117,43,168,69,51,200,140,120,62,6,18,6,5,96,107,49,22,13,0,13,11,90,3,23,18,27,56,352,68,1,4,2,94,2,0,1,446,706,167,34,1523,397,324,540,523,1686,115,8,0,6,53,30,429,55,18,246,91,50,10,13,0,3,183,0,0,347,262,210,228,872,189,4996,16922
47,tsuchiura_ishioka_omitama_kasumigaura_etc,347,83,23,185,101,141,697,101,13,10,1,20,65,63,659,300,8,156,3,1,92,11,0,137,190,39,250,1522,608,259,1582,22,25,626,24,24,0,118,347,70,90,723,20,29,0,363,108,5567,2408,933,117,1035,89,1226,4101,181,149,391,14939,88,504,0,89,30,29,0,1692,478,4110,278,45139,106,7591,101528
48,koga_shimotsuma_yachiyo_goka_etc,155,530,93,72,167,4,211,176,117,6,8,5,41,19,24,81,14,121,1,0,26,6,14,19,66,299,427,90,404,274,11,45,206,722,109,0,3,163,298,219,116,119,1,1,10,39,2,206,3227,87,372,77,2,78,611,219,539,866,1476,3547,428,0,20,72,0,0,2696,399,231,794,1782,536,1470,25271
49,tsukuba_city,6,41,0,110,15,0,99,60,48,0,1,94,104,44,15,4,0,14,0,0,0,0,11,3,2,45,43,91,86,390,1,0,0,57,1,38,0,166,63,211,132,224,7,52,0,7,2,342,151,1863,121,364,11,14,136,424,44,20,22,51,4,0,0,35,40,0,130,12,114,124,523,49,758,7640
50,joso_bando,468,379,52,88,101,141,230,185,71,34,8,65,16,12,96,184,43,77,4,0,171,19,0,0,41,45,128,145,174,1091,147,28,86,112,176,9,0,111,178,146,891,56,40,2,1,46,4,399,894,152,1272,798,11,154,281,81,144,103,183,363,47,0,40,36,3,0,829,120,140,33,1724,342,2726,16976
51,ryugasaki_toride_ushiku_moriya_etc,13,79,1,100,0,83,24,9,7,0,20,0,1,26,26,26,0,1,13,0,1,8,0,0,1,1,166,59,144,159,0,51,60,70,39,27,0,34,131,1211,57,89,53,0,0,4,4,192,92,1296,60,1866,139,1,164,106,40,1,14,55,15,0,0,58,1,0,286,25,21,110,580,620,978,9517
52,inashiki_miho_kawachi,18,49,10,11,5,10,14,29,7,0,5,1,14,32,11,10,1,81,1,0,0,95,0,0,41,1,15,49,48,21,0,0,47,73,26,3,1,64,40,61,19,166,77,5,0,62,42,346,23,244,0,651,629,151,58,5,6,5,16,5,13,0,22,36,0,0,138,58,48,7,437,4,116,4282
53,kashima_kamisu_namegata_itako,141,61,39,555,46,21,181,29,2,80,614,252,54,13657,3750,508,162,9,100,0,27,134,4,139,124,4,225,110,524,612,60,224,923,798,165,351,3,161,1205,32,1784,1106,239,292,72,1119,62,882,361,71,366,182,101,32344,1494,258,1698,3783,589,287,361,0,65,465,153,0,26246,1952,898,734,17233,22255,30499,174042
54,mito_hitachi_kasama_hitachinaka_etc,5099,355,0,368,1,382,1041,164,95,3,13,0,15,22,26,138,17,27,27,0,4,17,1,0,123,9,43,484,480,148,0,93,3,140,157,0,0,124,103,128,26,576,52,6,0,126,198,1461,1055,357,49,575,279,2008,19188,541,124,269,486,399,11,0,1368,434,8,0,2889,192,45,248,1431,138,1812,46200
55,yuki_chikusei_sakuragawa,14,33,12,21,31,17,19,897,32,109,32,45,14,33,8098,14,0,31,13,0,212,4,0,0,636,5422,102,24,43,84,0,60,48,91,19,3,0,120,187,1517,1266,172,8,63,0,7,5,207,386,198,101,928,43,97,254,2060,102,130,330,358,71,0,69,147,8,0,18488,165,4402,11191,19427,112,9782,88617
56,maebashi_takasaki_isesaki_shibukawa_etc,810,182,41,316,40,412,352,455,270,178,41,48,74,219,216,523,26,140,58,2,228,730,113,9,1895,361,442,473,1970,597,110,308,145,1555,2358,731,121,254,749,320,297,305,86,41,19,100,584,176,296,13,220,41,1,266,539,106,39488,9713,672,917,456,0,77,100,4504,480,3219,2826,2507,691,16403,473,5847,109334
57,kiryu_ota_tatebayashi_midori_etc,134,208,2,312,105,31,264,184,151,221,66,27,34,4,706,2360,1,235,78,0,4,15,0,124,97,102,341,197,2072,217,21,134,237,517,1648,284,150,15,2018,1072,950,181,32,83,0,55,122,655,95,49,81,980,46,174,162,92,4563,19052,340,875,632,0,35,1043,912,47,3071,1886,2717,268,9633,146,16354,79722
58,utsunomiya_kanuma_moka_kaminokawa_etc,30,77,77,388,5,126,115,90,144,0,7,8,47,12,208,15,18,180,131,0,230,90,23,74,102,106,130,129,971,427,60,33,6,180,144,24,1,103,232,270,39,262,1,96,100,538,212,478,220,174,244,158,42,306,463,1148,251,416,17304,1435,257,0,20,6844,5,0,1036,513,155,448,1561,56,2561,42357
59,tochigi_oyama_shimotsuke_nogi_etc,54,300,22,367,6,36,310,89,115,32,103,59,7,3,147,423,30,91,21,38,865,13,18,0,24,76,195,115,348,384,0,13,96,1099,237,4,0,247,1612,30,210,43,30,103,1,13,19,380,2011,26,527,149,6,94,370,268,1135,853,3265,6851,554,0,35,398,6,0,1758,181,180,150,1987,265,6612,36108
60,ashikaga_sano,2,2,0,101,3,5,230,42,2,34,26,15,17,0,27,679,28,115,13,0,32,2,286,4,62,277,967,624,542,3695,17,123,235,283,261,41,0,275,538,19,76,154,3,1291,135,229,39,588,244,42,36,44,1,2,129,9,2093,7299,531,2047,4067,0,41,182,6,0,2071,495,553,519,970,78,23243,56841
61,tokyo_islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ibaraki_north,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,0,0,36,0,0,68,0,0,0,1,41,2,0,4,144,0,0,0,16,0,3,133,0,3,49,1,33,43,1,4,8,0,103,1,5,1,0,0,0,1879,20,39,21,122,97,0,0,0,0,0,0,0,0,0,0,0,0,0,2900
63,tochigi_north,0,0,4,42,0,2,9,3,1,14,10,0,54,0,0,119,0,26,1,0,57,0,0,0,84,3,6,17,101,12,0,41,0,52,193,0,64,0,6,1,0,5,7,0,0,93,0,45,18,186,29,118,30,294,4,23,187,135,2637,228,150,0,0,0,0,0,0,0,0,0,0,0,0,5108
64,gunma_north,0,0,0,0,0,0,0,24,0,0,0,57,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,593,115,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,1369
65,gunma_other_ueno_kanna_nanmoku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
