poi_id,name,lon,lat,zone_id,facility_type,business_type
RS061,Shin-Yokohama Shops,139.6200,35.5100,MFS14,SMALL_RETAIL,business_district
RS062,Center Minami Shopping,139.5700,35.5400,MFS14,SMALL_RETAIL,suburban_center
RS063,Azamino Retail Area,139.5600,35.5600,MFS14,SMALL_RETAIL,residential_retail
RS064,Yokohama Seya Shops,139.4900,35.4700,MFS15,SMALL_RETAIL,residential_retail
RS065,Izumi-chuo Retail,139.5000,35.4300,MFS15,SMALL_RETAIL,suburban_center
RS066,Kawasaki Musashikosugi,139.6600,35.5700,MFS16,SMALL_RETAIL,retail_cluster
RS067,Kawasaki Mizonokuchi Shops,139.6100,35.5900,MFS17,SMALL_RETAIL,suburban_center
RS068,Kawasaki Shinyurigaoka,139.5100,35.6000,MFS17,SMALL_RETAIL,suburban_center
RS069,Kawasaki Noborito Area,139.5700,35.6200,MFS17,SMALL_RETAIL,residential_retail
RS070,Sagamihara Station Shops,139.3700,35.5800,MFS18,SMALL_RETAIL,suburban_center
RS071,Sagamiono Retail,139.4000,35.5300,MFS18,SMALL_RETAIL,shopping_center
RS072,Hashimoto Shopping Area,139.3400,35.5900,MFS18,SMALL_RETAIL,suburban_center
RS073,Kamakura Komachi Street,139.5600,35.3200,MFS19,SMALL_RETAIL,traditional
RS074,Zushi Station Shops,139.5800,35.2900,MFS19,SMALL_RETAIL,residential_retail
RS075,Fujisawa Station Retail,139.4900,35.3400,MFS20,SMALL_RETAIL,suburban_center
RS076,Enoshima Shopping,139.4800,35.3100,MFS20,SMALL_RETAIL,tourist_area
RS077,Chigasaki Southern Shops,139.4000,35.3300,MFS20,SMALL_RETAIL,residential_retail
RS078,Hiratsuka Station Retail,139.3500,35.3300,MFS21,SMALL_RETAIL,suburban_center
RS079,Hadano Shopping Area,139.2200,35.3800,MFS21,SMALL_RETAIL,residential_retail
RS080,Isehara Retail,139.3100,35.4000,MFS21,SMALL_RETAIL,residential_retail
RS081,Odawara Shopping District,139.1600,35.2600,MFS22,SMALL_RETAIL,shopping_district
RS082,Minamiashigara Shops,139.1100,35.3100,MFS22,SMALL_RETAIL,residential_retail
RS083,Hakone Yumoto Shops,139.1000,35.2400,MFS23,SMALL_RETAIL,tourist_area
RS084,Gotemba Station Retail,138.9300,35.3100,MFS24,SMALL_RETAIL,suburban_center
RS085,Atsugi Central Shopping,139.3600,35.4400,MFS25,SMALL_RETAIL,suburban_center
RS086,Atsugi Honmoku Shops,139.3700,35.4300,MFS25,SMALL_RETAIL,traditional
RS087,Ebina Station Retail,139.3900,35.4600,MFS26,SMALL_RETAIL,suburban_center
RS088,Yamato Tsuruma Shops,139.4600,35.4800,MFS26,SMALL_RETAIL,residential_retail
RS089,Zama Shopping Area,139.4100,35.4900,MFS26,SMALL_RETAIL,residential_retail
RS090,Saitama Urawa Parco Area,139.6600,35.8600,MFS27,SMALL_RETAIL,shopping_district
RS091,Saitama Shintoshin Shops,139.6300,35.8900,MFS27,SMALL_RETAIL,retail_cluster
RS092,Kawaguchi Station Retail,139.7200,35.8000,MFS28,SMALL_RETAIL,suburban_center
RS093,Warabi Nishi Shops,139.6900,35.8300,MFS28,SMALL_RETAIL,residential_retail
RS094,Kawagoe Ichibangai,139.4900,35.9300,MFS29,SMALL_RETAIL,traditional
RS095,Tokorozawa Prope Shops,139.5800,35.7900,MFS29,SMALL_RETAIL,suburban_center
RS096,Fujimino Station Retail,139.5200,35.8600,MFS29,SMALL_RETAIL,residential_retail
RS097,Koshigaya Station Shops,139.7900,35.8900,MFS30,SMALL_RETAIL,suburban_center
RS098,Misato Retail Area,139.8700,35.8300,MFS30,SMALL_RETAIL,residential_retail
RS099,Hanno Shopping District,139.3300,35.8500,MFS31,SMALL_RETAIL,residential_retail
RS100,Sayama City Shops,139.4100,35.8500,MFS31,SMALL_RETAIL,residential_retail
RS101,Kumagaya Station Retail,139.3900,36.1500,MFS32,SMALL_RETAIL,suburban_center
RS102,Fukaya Shopping Area,139.2800,36.2000,MFS32,SMALL_RETAIL,residential_retail
RS103,Kazo Station Shops,139.6000,36.0300,MFS33,SMALL_RETAIL,residential_retail
RS104,Kuki Shopping Center,139.6700,36.0600,MFS33,SMALL_RETAIL,suburban_center
RS105,Gyoda Retail Area,139.4600,36.1400,MFS34,SMALL_RETAIL,residential_retail
RS106,Honjo Station Shops,139.1900,36.2500,MFS34,SMALL_RETAIL,residential_retail
RS107,Hanyu Shopping Street,139.5500,36.1700,MFS35,SMALL_RETAIL,residential_retail
RS108,Kazo Kita Shops,139.3900,36.1500,MFS35,SMALL_RETAIL,residential_retail
RS109,Ogawa Town Retail,139.2600,36.0600,MFS36,SMALL_RETAIL,residential_retail
RS110,Yorii Station Shops,139.1900,36.1200,MFS36,SMALL_RETAIL,residential_retail
RS111,Chichibu Shops,139.0900,35.9900,MFS37,SMALL_RETAIL,traditional
RS112,Nagatoro Tourist Retail,139.1100,36.1000,MFS37,SMALL_RETAIL,tourist_area
RS113,Chiba Station Retail,140.1200,35.6100,MFS38,SMALL_RETAIL,suburban_center
RS114,Chiba Central Shopping,140.1300,35.6200,MFS38,SMALL_RETAIL,shopping_district
RS115,Ichikawa Station Shops,139.9200,35.7300,MFS39,SMALL_RETAIL,suburban_center
RS116,Motoyawata Shopping,139.9300,35.7200,MFS39,SMALL_RETAIL,retail_cluster
RS117,Matsudo Station Retail,139.9000,35.7900,MFS40,SMALL_RETAIL,suburban_center
RS118,Shin-Matsudo Shops,139.9200,35.8200,MFS40,SMALL_RETAIL,residential_retail
RS119,Kashiwa Station Shopping,139.9800,35.8600,MFS41,SMALL_RETAIL,shopping_district
RS120,Nagareyama Otakanomori,139.9300,35.8700,MFS41,SMALL_RETAIL,suburban_center
RS121,Tsudanuma Station Retail,140.0200,35.6900,MFS42,SMALL_RETAIL,suburban_center
RS122,Narashino Shops,140.0300,35.6800,MFS42,SMALL_RETAIL,residential_retail
RS123,Chiba Makuhari Shops,140.0300,35.6500,MFS43,SMALL_RETAIL,retail_cluster
RS124,Inage Station Retail,140.1100,35.6300,MFS43,SMALL_RETAIL,residential_retail
RS125,Kisarazu Station Shopping,139.9200,35.3700,MFS44,SMALL_RETAIL,suburban_center
RS126,Kimitsu Retail Area,139.9000,35.3300,MFS44,SMALL_RETAIL,residential_retail
RS127,Tateyama Shopping,139.8700,34.9900,MFS45,SMALL_RETAIL,traditional
RS128,Kamogawa Station Shops,140.1000,35.1100,MFS45,SMALL_RETAIL,residential_retail
RS129,Choshi Station Retail,140.8300,35.7300,MFS46,SMALL_RETAIL,traditional
RS130,Asahi Retail Area,140.6500,35.7200,MFS46,SMALL_RETAIL,residential_retail
RS131,Narita Station Shopping,140.3200,35.7800,MFS47,SMALL_RETAIL,suburban_center
RS132,Sakura City Shops,140.2200,35.7200,MFS47,SMALL_RETAIL,residential_retail
RS133,Tsukuba Center Retail,140.1100,36.0800,MFS48,SMALL_RETAIL,suburban_center
RS134,Tsukuba Research Park Shops,140.1300,36.0600,MFS48,SMALL_RETAIL,business_district
RS135,Koga Station Retail,139.8200,36.1800,MFS49,SMALL_RETAIL,residential_retail
RS136,Tsuchiura Station Shops,140.2000,36.0800,MFS50,SMALL_RETAIL,suburban_center
RS137,Moriya Shopping Area,139.9800,35.9600,MFS51,SMALL_RETAIL,suburban_center
RS138,Toride Station Retail,140.0500,35.9100,MFS52,SMALL_RETAIL,residential_retail
RS139,Ushiku Station Shops,140.1500,35.9800,MFS52,SMALL_RETAIL,residential_retail
RS140,Kashima Retail Area,140.6300,35.9700,MFS53,SMALL_RETAIL,residential_retail
RS141,Mito Station Shopping,140.4700,36.3700,MFS55,SMALL_RETAIL,shopping_district
RS142,Hitachinaka Shops,140.5300,36.4000,MFS55,SMALL_RETAIL,residential_retail
RS143,Hitachi City Retail,140.6500,36.6000,MFS56,SMALL_RETAIL,suburban_center
RS144,Maebashi Station Shops,139.0700,36.3900,MFS57,SMALL_RETAIL,suburban_center
RS145,Takasaki Station Retail,139.0100,36.3200,MFS57,SMALL_RETAIL,shopping_district
RS146,Ota Gunma Shopping,139.3800,36.3000,MFS58,SMALL_RETAIL,suburban_center
RS147,Utsunomiya Station Retail,139.8900,36.5600,MFS59,SMALL_RETAIL,shopping_district
RS148,Oyama Station Shops,139.8000,36.3100,MFS60,SMALL_RETAIL,suburban_center
RS149,Sano Outlet Area,139.5800,36.3200,MFS61,SMALL_RETAIL,shopping_district
RS150,Ashikaga Shopping,139.4500,36.3400,MFS61,SMALL_RETAIL,traditional
RS151,Sendai Ichibancho,140.7400,38.2600,MFS67,SMALL_RETAIL,shopping_district
RS152,Kanazawa Kenrokuen Area,136.6300,36.7500,MFS68,SMALL_RETAIL,traditional
RS153,Nagano Zenkoji Shops,138.5000,36.0000,MFS69,SMALL_RETAIL,traditional
RS154,Shizuoka Aoba Street,138.3800,34.9800,MFS70,SMALL_RETAIL,shopping_district
RS155,Nagoya Sakae Retail,136.5000,35.0000,MFS71,SMALL_RETAIL,shopping_district
