origin,OSK01,OSK02,OSK03,OSK04,OSK05,OSK06,OSK07,OSK08,OSK09,OSK10,OSK11,OSK12,OSK13,OSK14,OSK15,OSK16,OSK17,OSK18,OSK19,OSK20,OSK21,OSK22,OSK23,OSK24,OSK25,OSK26,OSK27,OSK28,OSK29,OSK30
OSK11,385.3,416.9,31.1,2.3,268.7,71.9,195.3,614.6,2322.6,180.6,8319.8,3018.0,8427.7,137.5,153.3,1650.1,4.6,19.1,925.8,55.9,12583.0,400.0,60.8,0.0,0.0,582.1,28.1,0.0,7.0,1.5
OSK12,1611.6,684.7,192.0,28.0,2000.9,72.0,213.0,1145.5,5564.2,688.0,3208.7,11314.6,11825.6,1179.8,323.3,1185.2,438.6,63.7,1073.7,37.5,1212.3,564.7,284.8,0.0,49.4,972.0,232.2,3.5,66.2,284.3
OSK13,4302.3,1776.0,272.2,36.4,2345.2,141.6,6912.0,6698.7,14403.3,1279.7,6598.4,8956.9,85030.3,8162.5,2460.2,2867.5,20.9,554.8,2244.5,31.8,3142.3,2823.6,1083.6,0.0,295.4,1634.4,3.2,0.1,0.5,3.5
OSK14,848.4,676.4,164.5,1.0,139.4,8.0,233.4,2877.9,1459.5,124.8,461.7,570.5,25892.8,11786.0,1617.1,270.7,51.0,28.0,573.0,1.3,4379.2,143.7,99.1,0.0,0.9,185.8,0.0,0.0,0.7,0.0
OSK15,126.1,294.8,1.0,0.0,214.6,44.5,68.5,12262.1,340.5,14.3,655.9,85.5,785.0,1358.3,2642.0,98.7,0.0,33.3,521.3,30.3,1389.8,69.6,14.8,0.0,0.0,44.0,0.0,0.0,0.0,0.0
OSK16,416.0,383.3,11.3,3.0,595.9,206.0,279.4,1504.4,895.9,83.0,3253.8,871.0,8898.9,2680.0,611.6,16213.6,110.4,1099.6,7301.1,123.6,31162.2,50.7,9.7,0.0,0.0,47.8,0.9,0.0,278.0,57.2
OSK17,0.0,0.0,0.0,0.0,2.1,0.0,6.4,62.6,34.8,0.0,79.7,17.0,43.5,5.9,63.6,128.1,2452.7,0.0,286.6,3.0,1476.0,60.8,7.5,0.0,0.0,19.1,0.0,0.0,0.1,0.0
OSK18,65.4,61.3,0.0,0.0,6.5,55.8,14.1,100.4,196.3,0.0,64.9,31.8,760.9,210.4,96.8,118.2,0.0,701.3,83.6,23.5,94.6,94.1,6.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0
OSK19,298.0,341.7,37.7,91.6,226.5,813.8,377.1,663.4,1072.6,20.6,902.0,1310.4,2960.7,659.9,268.0,3424.5,113.0,70.5,29076.6,584.6,1304.9,289.6,374.3,0.0,0.0,3184.0,9.6,0.0,2.4,0.4
OSK20,5.3,23.6,4.1,0.1,0.2,192.5,3.8,36.6,350.5,0.0,0.5,16.0,40.2,39.1,136.5,1865.2,0.0,825.7,214.7,4964.4,379.8,0.2,0.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0
OSK21,414.6,199.6,97.2,1021.6,537.0,235.6,133.8,2513.2,16910.6,140.4,462.0,10413.2,3090.2,8625.2,2394.2,8823.9,376.2,336.4,18104.4,262.7,96588.7,398.3,264.6,0.0,0.0,569.0,0.0,0.0,19.6,0.1
OSK22,524.4,172.6,3.4,0.0,386.1,2.4,152.6,287.0,36841.5,35.3,36.0,234.1,465.4,151.0,89.1,138.4,0.0,72.9,131.5,0.6,678.5,3947.5,296.1,1.5,8.3,85.0,33.2,0.0,0.0,0.0
OSK23,264.5,92.6,1.8,7.2,588.1,0.0,35.9,289.5,1454.5,105.0,81.8,44.7,664.3,43.1,37.5,242.4,0.4,0.0,107.3,0.0,127.5,1144.5,1125.9,736.6,13.6,189.1,73.0,0.0,0.0,0.0
OSK24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.6,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0
OSK25,0.1,0.0,0.0,0.0,0.5,0.0,0.0,25.9,56.3,0.0,14.4,8.4,31.9,0.0,0.0,0.0,0.0,0.2,4.6,0.0,0.2,9.3,63.5,0.0,3694.4,42.9,0.0,0.0,0.0,0.0
OSK26,8.1,11.9,32.1,0.6,180.0,2.7,83.7,293.6,1943.6,208.3,918.0,931.8,1420.9,478.2,6.1,279.8,0.1,198.3,1857.1,0.7,137.7,179.2,173.9,0.0,6.7,19849.0,1047.3,206.3,334.8,106.9
OSK27,20.0,34.8,0.0,22.1,0.0,20.4,0.0,46.9,23.1,20.0,28.0,52.1,18.0,0.0,0.1,60.0,0.0,0.0,18.6,0.0,42.5,40.0,18.2,0.0,0.7,1905.4,1649.9,0.0,0.0,0.0
OSK28,147.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,51.0,0.0,13.6,0.0,54.6,0.1,0.0,45.9,0.0,0.0,0.2,0.0,3.2,0.0,0.0,0.0,0.0,31.8,0.0,495.8,0.0,0.0
OSK29,75.0,0.2,0.0,0.0,14.8,0.0,5.0,7.3,3.2,6.0,138.4,16.1,543.4,2.8,52.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,12.0,0.0,0.0,150.6,0.0,948.4,7966.1,90.0
OSK30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,119.5
