large_zone,region,MFS01,MFS02,MFS03,MFS04,MFS05,MFS06,MFS07,MFS08,MFS09,MFS10,MFS11,MFS12,MFS13,MFS14,MFS15,MFS16,MFS17,MFS18,MFS19,MFS20,MFS21,MFS22,MFS23,MFS24,MFS25,MFS26,MFS27,MFS28,MFS29,MFS30,MFS31,MFS32,MFS33,MFS34,MFS35,MFS36,MFS37,MFS38,MFS39,MFS40,MFS41,MFS42,MFS43,MFS44,MFS45,MFS46,MFS47,MFS48,MFS49,MFS50,MFS51,MFS52,MFS53,MFS54,MFS55,MFS56,MFS57,MFS58,MFS59,MFS60,MFS61,MFS62,MFS63,MFS64,MFS65,MFS66,PRF01,PRF02,PRF03,PRF04,PRF05,PRF06,PRF07,PRF15,PRF16,PRF17,PRF18,PRF19,PRF20,PRF22,PRF21,PRF23,PRF24,PRF25,PRF26,PRF27,PRF28,PRF29,PRF30,PRF31,PRF32,PRF33,PRF34,PRF35,PRF36,PRF37,PRF38,PRF39,PRF40,PRF41,PRF42,PRF43,PRF44,PRF45,PRF46,PRF47
10,MFS11,37.0,28.0,30.0,69.0,20.0,2.0,8.0,59.0,59.0,18.0,526.0,537.0,434.0,365.0,301.0,174.0,57.0,101.0,106.0,59.0,212.0,56.0,30.0,3.0,87.0,84.0,15.0,11.0,24.0,32.0,0.0,15.0,2.0,9.0,4.0,2.0,0.0,8.0,18.0,17.0,4.0,14.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,32.0,9.0,61.0,4.0,11.0,0.0,5.0,19.0,0.0,0.0,16.9,4.0,4.2,8.7,3.0,3.6,6.8,2.4,1.3,1.3,0.9,16.2,40.8,841.0,6.2,33.1,6.7,5.3,8.7,33.5,17.1,3.0,2.9,1.5,2.1,6.3,9.9,4.8,2.5,3.1,4.0,1.9,16.1,2.4,3.7,4.9,3.6,2.9,4.4,3.6
11,MFS12,43.0,523.0,41.0,58.0,52.0,45.0,41.0,34.0,56.0,3.0,659.0,1354.0,538.0,275.0,208.0,167.0,68.0,341.0,183.0,127.0,190.0,49.0,51.0,6.0,99.0,136.0,15.0,12.0,20.0,22.0,7.0,7.0,6.0,57.0,14.0,14.0,0.0,18.0,45.0,15.0,0.0,12.0,6.0,14.0,3.0,11.0,7.0,4.0,3.0,19.0,9.0,0.0,3.0,14.0,0.0,13.0,35.0,9.0,28.0,8.0,0.0,0.0,10.0,7.0,0.0,0.0,54.7,12.9,13.5,28.1,9.6,11.6,21.9,25.1,13.9,13.6,9.4,12.8,32.2,226.0,27.2,145.8,29.4,23.2,38.4,147.6,75.4,13.1,12.7,6.5,9.1,27.9,43.5,21.0,10.9,13.8,17.8,8.3,71.1,10.5,16.3,21.8,16.0,12.7,19.2,16.0
12,MFS13,91.0,115.0,85.0,53.0,70.0,16.0,21.0,58.0,228.0,27.0,470.0,563.0,1741.0,701.0,333.0,86.0,119.0,434.0,45.0,69.0,364.0,150.0,45.0,11.0,335.0,639.0,14.0,19.0,36.0,59.0,0.0,5.0,3.0,13.0,0.0,0.0,3.0,8.0,45.0,17.0,10.0,21.0,2.0,7.0,3.0,3.0,29.0,16.0,5.0,14.0,9.0,2.0,3.0,8.0,20.0,3.0,31.0,26.0,9.0,12.0,2.0,0.0,3.0,15.0,3.0,0.0,42.5,10.0,10.5,21.8,7.4,9.0,17.0,11.3,6.3,6.1,4.3,37.8,95.2,164.0,12.3,66.1,13.3,10.5,17.4,67.0,34.2,5.9,5.8,3.0,4.1,12.7,19.7,9.5,4.9,6.3,8.1,3.8,32.3,4.8,7.4,9.9,7.2,5.8,8.7,7.2
13,MFS14,132.0,262.0,96.0,43.0,86.0,18.0,48.0,154.0,226.0,22.0,332.0,327.0,795.0,1774.0,369.0,464.0,398.0,337.0,101.0,62.0,177.0,63.0,71.0,1.0,275.0,315.0,24.0,23.0,34.0,21.0,0.0,9.0,8.0,24.0,6.0,10.0,7.0,50.0,48.0,11.0,0.0,49.0,18.0,28.0,3.0,18.0,2.0,23.0,2.0,7.0,0.0,10.0,0.0,0.0,5.0,7.0,14.0,7.0,16.0,4.0,4.0,0.0,3.0,13.0,1.0,0.0,79.6,18.8,19.7,40.9,13.9,16.8,31.8,21.1,11.6,11.4,7.9,72.7,183.3,531.0,15.9,85.1,17.1,13.5,22.4,86.1,44.0,7.6,7.4,3.8,5.3,16.3,25.4,12.3,6.3,8.0,10.4,4.9,41.5,6.1,9.5,12.7,9.3,7.4,11.2,9.3
14,MFS15,286.0,420.0,182.0,197.0,153.0,70.0,87.0,209.0,127.0,25.0,1139.0,417.0,460.0,788.0,1547.0,522.0,292.0,119.0,35.0,16.0,80.0,61.0,19.0,12.0,135.0,173.0,72.0,36.0,49.0,53.0,6.0,15.0,25.0,26.0,26.0,10.0,0.0,97.0,141.0,49.0,47.0,61.0,12.0,32.0,31.0,5.0,38.0,19.0,20.0,11.0,34.0,32.0,3.0,22.0,37.0,0.0,53.0,43.0,84.0,37.0,19.0,58.0,7.0,25.0,0.0,0.0,211.7,50.0,52.3,108.8,37.0,44.7,84.7,103.3,57.1,55.8,38.8,48.0,121.0,258.0,57.5,308.4,62.1,49.1,81.3,312.2,159.6,27.6,26.9,13.8,19.2,59.1,92.1,44.5,23.0,29.2,37.6,17.6,150.4,22.2,34.5,46.0,33.8,26.9,40.7,33.8
15,MFS16,356.0,904.0,128.0,243.0,289.0,106.0,64.0,189.0,104.0,17.0,276.0,291.0,166.0,330.0,627.0,1955.0,397.0,95.0,48.0,36.0,69.0,64.0,16.0,4.0,111.0,123.0,51.0,71.0,102.0,80.0,11.0,10.0,51.0,29.0,29.0,5.0,0.0,105.0,101.0,84.0,64.0,90.0,62.0,33.0,0.0,11.0,11.0,15.0,16.0,5.0,42.0,7.0,5.0,23.0,12.0,14.0,81.0,26.0,38.0,19.0,19.0,0.0,10.0,45.0,0.0,0.0,107.6,25.4,26.6,55.3,18.8,22.7,43.1,54.7,30.2,29.6,20.5,39.5,99.5,125.0,40.0,214.6,43.2,34.2,56.6,217.3,111.1,19.2,18.7,9.6,13.3,41.1,64.1,31.0,16.0,20.3,26.2,12.3,104.6,15.5,24.0,32.0,23.5,18.7,28.3,23.5
16,MFS17,111.0,477.0,90.0,52.0,904.0,43.0,30.0,131.0,172.0,14.0,130.0,96.0,106.0,532.0,80.0,377.0,973.0,66.0,19.0,3.0,53.0,5.0,34.0,4.0,65.0,49.0,9.0,10.0,48.0,26.0,0.0,23.0,8.0,3.0,7.0,0.0,0.0,12.0,38.0,9.0,15.0,38.0,11.0,4.0,0.0,4.0,4.0,13.0,4.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,22.0,8.0,24.0,11.0,4.0,0.0,4.0,4.0,0.0,0.0,102.2,24.1,25.3,52.5,17.9,21.6,40.9,40.5,22.4,21.9,15.2,22.2,55.8,92.0,16.1,86.4,17.4,13.8,22.8,87.5,44.7,7.7,7.5,3.9,5.4,16.6,25.8,12.5,6.5,8.2,10.5,4.9,42.1,6.2,9.7,12.9,9.5,7.5,11.4,9.5
17,MFS18,68.0,176.0,87.0,71.0,161.0,80.0,66.0,356.0,916.0,109.0,49.0,141.0,147.0,335.0,180.0,136.0,299.0,2834.0,55.0,39.0,160.0,69.0,78.0,11.0,397.0,575.0,53.0,28.0,94.0,25.0,17.0,8.0,3.0,47.0,11.0,29.0,4.0,71.0,50.0,7.0,3.0,40.0,17.0,11.0,0.0,13.0,15.0,14.0,3.0,19.0,21.0,15.0,0.0,17.0,52.0,9.0,53.0,21.0,37.0,23.0,15.0,0.0,66.0,8.0,0.0,0.0,139.0,32.8,34.4,71.4,24.3,29.3,55.6,56.3,31.1,30.4,21.1,52.5,132.5,255.0,37.9,203.4,41.0,32.4,53.6,205.9,105.2,18.2,17.7,9.1,12.6,39.0,60.7,29.3,15.2,19.2,24.8,11.6,99.2,14.7,22.8,30.4,22.3,17.7,26.8,22.3
18,MFS19,49.0,13.0,0.0,7.0,0.0,3.0,6.0,0.0,0.0,0.0,48.0,138.0,33.0,42.0,89.0,33.0,4.0,4.0,705.0,56.0,22.0,3.0,6.0,0.0,16.0,9.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,5.0,0.0,5.0,0.0,3.0,0.0,4.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,19.4,4.6,4.8,10.0,3.4,4.1,7.8,2.0,1.1,1.1,0.8,2.0,5.0,36.0,2.7,14.5,2.9,2.3,3.8,14.7,7.5,1.3,1.3,0.6,0.9,2.8,4.3,2.1,1.1,1.4,1.8,0.8,7.1,1.0,1.6,2.2,1.6,1.3,1.9,1.6
19,MFS20,19.0,18.0,5.0,3.0,0.0,3.0,3.0,0.0,12.0,1.0,0.0,33.0,152.0,1.0,6.0,11.0,1.0,1.0,52.0,272.0,228.0,5.0,6.0,0.0,11.0,30.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.1,1.4,1.5,3.1,1.1,1.3,2.4,2.4,1.3,1.3,0.9,2.0,5.0,12.0,2.8,14.8,3.0,2.4,3.9,15.0,7.7,1.3,1.3,0.7,0.9,2.8,4.4,2.1,1.1,1.4,1.8,0.8,7.2,1.1,1.7,2.2,1.6,1.3,2.0,1.6
20,MFS21,75.0,80.0,24.0,40.0,37.0,66.0,44.0,142.0,133.0,47.0,98.0,126.0,248.0,110.0,96.0,147.0,41.0,259.0,81.0,242.0,1999.0,218.0,94.0,37.0,491.0,626.0,32.0,88.0,63.0,24.0,6.0,22.0,21.0,19.0,7.0,0.0,0.0,30.0,12.0,30.0,46.0,15.0,12.0,16.0,0.0,12.0,3.0,18.0,12.0,26.0,16.0,50.0,0.0,15.0,17.0,0.0,74.0,48.0,121.0,230.0,36.0,0.0,3.0,5.0,0.0,0.0,128.2,30.3,31.7,65.9,22.4,27.1,51.3,70.5,39.0,38.1,26.4,52.0,131.0,218.0,33.3,178.5,36.0,28.4,47.1,180.7,92.4,16.0,15.5,8.0,11.1,34.2,53.3,25.8,13.3,16.9,21.8,10.2,87.0,12.9,20.0,26.6,19.5,15.5,23.5,19.5
21,MFS22,4.0,35.0,28.0,13.0,25.0,15.0,19.0,33.0,48.0,23.0,25.0,56.0,75.0,39.0,42.0,34.0,7.0,96.0,29.0,26.0,472.0,768.0,323.0,113.0,601.0,191.0,26.0,29.0,45.0,28.0,3.0,9.0,5.0,28.0,6.0,6.0,0.0,12.0,33.0,7.0,11.0,11.0,16.0,21.0,12.0,7.0,1.0,13.0,7.0,8.0,7.0,14.0,0.0,3.0,13.0,12.0,20.0,17.0,18.0,15.0,3.0,0.0,7.0,0.0,0.0,0.0,42.5,10.0,10.5,21.8,7.4,9.0,17.0,57.9,32.0,31.3,21.7,13.1,32.9,100.0,13.0,69.7,14.0,11.1,18.4,70.6,36.1,6.2,6.1,3.1,4.3,13.4,20.8,10.1,5.2,6.6,8.5,4.0,34.0,5.0,7.8,10.4,7.6,6.1,9.2,7.6
22,MFS23,22.0,38.0,7.0,23.0,3.0,5.0,11.0,3.0,33.0,0.0,8.0,28.0,30.0,17.0,28.0,15.0,4.0,29.0,12.0,4.0,81.0,131.0,694.0,258.0,123.0,56.0,4.0,7.0,16.0,60.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,12.0,7.0,20.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,12.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,22.3,5.3,5.5,11.5,3.9,4.7,8.9,5.7,3.1,3.1,2.1,15.3,38.7,220.0,4.6,24.9,5.0,4.0,6.6,25.2,12.9,2.2,2.2,1.1,1.5,4.8,7.4,3.6,1.9,2.4,3.0,1.4,12.1,1.8,2.8,3.7,2.7,2.2,3.3,2.7
23,MFS24,36.0,23.0,18.0,17.0,4.0,10.0,14.0,9.0,21.0,6.0,27.0,51.0,104.0,20.0,55.0,49.0,20.0,36.0,7.0,28.0,45.0,81.0,611.0,514.0,156.0,49.0,31.0,13.0,15.0,6.0,0.0,7.0,3.0,3.0,10.0,0.0,0.0,16.0,22.0,6.0,3.0,3.0,7.0,4.0,0.0,0.0,4.0,3.0,0.0,6.0,7.0,0.0,0.0,3.0,0.0,0.0,10.0,7.0,6.0,69.0,0.0,0.0,2.0,9.0,0.0,0.0,39.6,9.4,9.8,20.4,6.9,8.4,15.8,7.3,4.0,3.9,2.7,25.8,65.2,265.0,11.9,63.9,12.9,10.2,16.9,64.7,33.1,5.7,5.6,2.9,4.0,12.2,19.1,9.2,4.8,6.0,7.8,3.7,31.2,4.6,7.2,9.5,7.0,5.6,8.4,7.0
24,MFS25,128.0,158.0,113.0,186.0,130.0,127.0,56.0,160.0,137.0,96.0,147.0,180.0,215.0,510.0,125.0,202.0,87.0,369.0,97.0,64.0,593.0,411.0,279.0,205.0,2340.0,640.0,97.0,44.0,149.0,54.0,40.0,21.0,35.0,79.0,45.0,0.0,0.0,76.0,164.0,20.0,54.0,58.0,9.0,12.0,6.0,9.0,9.0,29.0,29.0,20.0,18.0,35.0,3.0,11.0,73.0,20.0,67.0,80.0,51.0,23.0,12.0,0.0,25.0,14.0,3.0,0.0,186.8,44.1,46.2,96.0,32.7,39.4,74.7,95.2,52.6,51.5,35.7,64.8,163.2,499.0,62.2,333.1,67.1,53.0,87.8,337.3,172.4,29.8,29.0,14.9,20.7,63.8,99.4,48.1,24.9,31.5,40.6,19.1,162.4,24.0,37.3,49.7,36.5,29.0,43.9,36.5
25,MFS26,134.0,272.0,100.0,124.0,106.0,79.0,149.0,379.0,295.0,104.0,191.0,358.0,769.0,458.0,244.0,387.0,280.0,652.0,155.0,120.0,697.0,218.0,138.0,91.0,807.0,1284.0,55.0,30.0,96.0,67.0,22.0,28.0,24.0,58.0,18.0,16.0,0.0,73.0,87.0,42.0,25.0,38.0,18.0,22.0,9.0,12.0,8.0,21.0,3.0,9.0,9.0,27.0,3.0,15.0,32.0,9.0,46.0,15.0,61.0,32.0,12.0,0.0,3.0,24.0,3.0,0.0,119.5,28.2,29.5,61.4,20.9,25.2,47.8,35.6,19.7,19.3,13.4,85.8,216.2,421.0,27.0,144.9,29.2,23.1,38.2,146.7,75.0,13.0,12.6,6.5,9.0,27.8,43.3,20.9,10.8,13.7,17.7,8.3,70.7,10.5,16.2,21.6,15.9,12.6,19.1,15.9
26,MFS27,160.0,104.0,143.0,191.0,79.0,307.0,173.0,122.0,67.0,41.0,13.0,18.0,24.0,47.0,33.0,28.0,20.0,32.0,3.0,7.0,39.0,23.0,10.0,4.0,39.0,28.0,7201.0,917.0,1137.0,1408.0,41.0,244.0,1231.0,1576.0,185.0,19.0,10.0,97.0,112.0,38.0,66.0,55.0,8.0,25.0,0.0,9.0,13.0,40.0,33.0,19.0,13.0,35.0,0.0,7.0,53.0,45.0,130.0,74.0,151.0,64.0,30.0,7.0,14.0,74.0,7.0,0.0,173.9,41.1,43.0,89.4,30.4,36.7,69.6,94.8,52.4,51.2,35.6,51.1,128.9,184.0,29.1,155.8,31.4,24.8,41.1,157.8,80.6,14.0,13.6,7.0,9.7,29.8,46.5,22.5,11.6,14.7,19.0,8.9,76.0,11.2,17.4,23.3,17.1,13.6,20.5,17.1
27,MFS28,257.0,260.0,867.0,659.0,192.0,945.0,516.0,286.0,87.0,51.0,62.0,36.0,28.0,77.0,65.0,58.0,23.0,99.0,12.0,15.0,96.0,21.0,31.0,0.0,82.0,75.0,1354.0,2844.0,771.0,741.0,49.0,111.0,217.0,395.0,138.0,9.0,19.0,114.0,212.0,176.0,69.0,133.0,17.0,49.0,20.0,38.0,37.0,104.0,228.0,85.0,6.0,42.0,0.0,13.0,74.0,33.0,114.0,97.0,74.0,109.0,68.0,0.0,0.0,81.0,15.0,0.0,292.0,68.9,72.2,150.0,51.1,61.6,116.8,155.1,85.8,83.9,58.2,104.2,262.8,235.0,49.2,263.6,53.1,42.0,69.5,266.8,136.4,23.6,22.9,11.8,16.4,50.5,78.7,38.0,19.7,24.9,32.1,15.1,128.5,19.0,29.5,39.3,28.8,22.9,34.7,28.8
28,MFS29,328.0,215.0,413.0,274.0,217.0,729.0,194.0,1450.0,450.0,317.0,39.0,49.0,59.0,82.0,36.0,53.0,28.0,62.0,25.0,0.0,40.0,15.0,21.0,7.0,155.0,68.0,1149.0,558.0,5959.0,190.0,651.0,868.0,421.0,247.0,349.0,33.0,103.0,93.0,157.0,73.0,34.0,93.0,18.0,5.0,5.0,26.0,40.0,121.0,35.0,12.0,24.0,30.0,0.0,19.0,51.0,17.0,232.0,99.0,109.0,130.0,24.0,0.0,17.0,44.0,2.0,0.0,270.4,63.8,66.8,138.9,47.3,57.1,108.1,111.8,61.8,60.4,42.0,99.4,250.6,268.0,51.4,275.3,55.5,43.8,72.6,278.8,142.5,24.7,24.0,12.3,17.1,52.7,82.2,39.7,20.5,26.0,33.6,15.8,134.2,19.9,30.8,41.1,30.1,24.0,36.3,30.1
